File Name,Column Name,Data Type,No. of Values,Distinct,Distinct (%),Is Unique?,Unique,Unique (%),Missing,Missing (%),Mean,Standard deviation,Variance,Minimum,Maximum,Kurtosis,Skewness,Median Absolute Deviation (MAD),Range,5-th percentile,Q1,Median,Q3,95-th percentile,Interquartile range (IQR),Coefficient of variation (CV),Monotonicity
CustomerData_20220330.csv,Entity UEN,Numeric,28,19,67.86,False,10,35.71,2,6.67,36176692.75,863510.01,36176692.75,35096536.0,37056662.0,-1.72,-0.33,686621.0,1960126.0,35096886.0,35097540.75,36365947.0,37030625.75,37056312.0,1933085.0,0.02,0.0
CustomerData_20220330.csv,Country of Risk,Text,30,3,10.0,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,Country of Domicile,Text,28,6,21.43,False,3,10.71,2,6.67,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,SIC Canada,Text,29,5,17.24,False,3,10.34,1,3.33,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,id,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,gender,Text,30,3,10.0,False,1,3.33,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,birthdate,Text,30,29,96.67,False,28,93.33,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,maiden_name,Text,30,29,96.67,False,28,93.33,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,lname,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,fname,Text,30,29,96.67,False,28,93.33,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,address,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,city,Text,30,27,90.0,False,25,83.33,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,state,Text,30,19,63.33,False,14,46.67,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,zip,Numeric,30,29,96.67,False,28,93.33,0,0.0,59261.9,28233.05,59261.9,6108.0,96748.0,-0.96,-0.46,24122.5,90640,9374.65,36517.5,66321.5,77059.25,94899.05,40541.75,0.48,0.0
CustomerData_20220330.csv,primary_phone,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,primary_email,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,cc_type,Text,30,4,13.33,False,2,6.67,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,Total Assets Amount,Numeric,30,12,40.0,False,0,0.0,0,0.0,59421504.97,41657042.82,59421504.97,10000000.0,116415321.8,-1.56,0.34,32058715.82,106415321.8,11125000.0,20751953.12,47683715.82,110594555.72,116415321.8,89842602.59,0.7,1.0
CustomerData_20220330.csv,Total Assets Currency,Text,30,4,13.33,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,Total Sales Amount,Numeric,30,12,40.0,False,0,0.0,0,0.0,29710752.49,20828521.42,29710752.49,5000000.0,58207660.91,-1.56,0.34,16029357.91,53207660.91,5562500.0,10375976.56,23841857.91,55297277.86,58207660.91,44921301.3,0.7,1.0
CustomerData_20220330.csv,Total Sales Currency,Text,30,4,13.33,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,SIN,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,Passport,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
CustomerData_20220330.csv,Driving_ID,Text,30,30,100.0,True,30,100.0,0,0.0,,,,,,,,,,,,,,,,,
