File Name,Column Name,Data Type,No. of Values,Distinct,Distinct (%),Is Unique?,Unique,Unique (%),Missing,Missing (%),Mean,Standard deviation,Variance,Minimum,Maximum,Kurtosis,Skewness,Median Absolute Deviation (MAD),Range,5-th percentile,Q1,Median,Q3,95-th percentile,Interquartile range (IQR),Coefficient of variation (CV),Monotonicity
FinancialSample.xlsx,Segment,Text,700,5,0.71,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
FinancialSample.xlsx,Country,Text,700,5,0.71,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
FinancialSample.xlsx,Product,Text,700,6,0.86,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
FinancialSample.xlsx,Discount Band,Text,647,3,0.46,False,0,0.0,53,7.57,,,,,,,,,,,,,,,,,
FinancialSample.xlsx,Units Sold,Numeric,700,510,72.86,False,350,50.0,0,0.0,1608.29,867.43,1608.29,200.0,4492.5,-0.32,0.44,655.5,4292.5,344.95,905.0,1542.5,2229.12,2935.95,1324.12,0.54,0.0
FinancialSample.xlsx,Manufacturing Price,Numeric,700,6,0.86,False,0,0.0,0,0.0,96.48,108.6,96.48,3,260,-1.43,0.59,7.0,257,3.0,5.0,10.0,250.0,260.0,245.0,1.13,0.0
FinancialSample.xlsx,Sale Price,Numeric,700,7,1.0,False,0,0.0,0,0.0,118.43,136.78,118.43,7,350,-1.18,0.77,13.0,343,7.0,12.0,20.0,300.0,350.0,288.0,1.15,0.0
FinancialSample.xlsx,Gross Sales,Numeric,700,550,78.57,False,406,58.0,0,0.0,182759.43,254262.28,182759.43,1799.0,1207500.0,2.05,1.67,30747.5,1205701.0,5193.05,17391.75,37980.0,279025.0,754250.0,261633.25,1.39,0.0
FinancialSample.xlsx,Discounts,Numeric,700,515,73.57,False,384,54.86,0,0.0,13150.35,22962.93,13150.35,0.0,149677.5,7.91,2.69,2328.57,149677.5,0.0,800.32,2585.25,15956.34,62832.0,15156.02,1.75,0.0
FinancialSample.xlsx, Sales,Numeric,700,559,79.86,False,418,59.71,0,0.0,169609.07,236726.35,169609.07,1655.08,1159200.0,2.19,1.7,28716.7,1157544.92,4535.65,15928.0,35540.2,261077.5,683574.75,245149.5,1.4,0.0
FinancialSample.xlsx,COGS,Numeric,700,545,77.86,False,398,56.86,0,0.0,145475.21,203865.51,145475.21,918.0,950625.0,1.61,1.55,19576.25,949707.0,2449.5,7490.0,22506.25,245607.5,608643.75,238117.5,1.4,0.0
FinancialSample.xlsx,Profit,Numeric,700,557,79.57,False,417,59.57,0,0.0,24133.86,42760.63,24133.86,-40617.5,262200.0,8.68,2.71,7383.07,302817.5,-7849.25,2805.96,9242.2,22662.0,117138.1,19856.04,1.77,0.0
FinancialSample.xlsx,Date,DateTime,700,16,2.29,False,0,0.0,0,0.0,,,,2013-09-01 00:00:00,2014-12-01 00:00:00,,,,"456 days, 0:00:00",,,,,,,,
FinancialSample.xlsx,Month Number,Numeric,700,12,1.71,False,0,0.0,0,0.0,7.9,3.38,7.9,1,12,-0.88,-0.58,2.5,11,1.95,5.75,9.0,10.25,12.0,4.5,0.43,0.0
FinancialSample.xlsx,Month Name,Text,700,12,1.71,False,0,0.0,0,0.0,,,,,,,,,,,,,,,,,
FinancialSample.xlsx,Year,Numeric,700,2,0.29,False,0,0.0,0,0.0,2013.75,0.43,2013.75,2013,2014,-0.66,-1.16,0.0,1,2013.0,2013.75,2014.0,2014.0,2014.0,0.25,0.0,0.0
