File Name,Column Name,Data Type,No. of Values,Distinct,Distinct (%),Is Unique?,Unique,Unique (%),Missing,Missing (%),Mean,Standard deviation,Variance,Minimum,Maximum,Kurtosis,Skewness,Median Absolute Deviation (MAD),Range,5-th percentile,Q1,Median,Q3,95-th percentile,Interquartile range (IQR),Coefficient of variation (CV),Monotonicity
mt cars.parquet,model,Text,32,32,100.0,True,32,100.0,0,0.0,,,,,,,,,,,,,,,,,
mt cars.parquet,mpg,Numeric,32,25,78.12,False,18,56.25,0,0.0,20.09,6.03,20.09,10.4,33.9,-0.02,0.67,3.65,23.5,12.0,15.42,19.2,22.8,31.3,7.38,0.3,0.0
mt cars.parquet,cyl,Numeric,32,3,9.38,False,0,0.0,0,0.0,6.19,1.79,6.19,4.0,8.0,-1.76,-0.19,2.0,4,4.0,4.0,6.0,8.0,8.0,4.0,0.29,0.0
mt cars.parquet,disp,Numeric,32,27,84.38,False,23,71.88,0,0.0,230.72,123.94,230.72,71.1,472.0,-1.07,0.42,94.75,400.9,77.35,120.82,196.3,326.0,449.0,205.18,0.54,0.0
mt cars.parquet,hp,Numeric,32,22,68.75,False,15,46.88,0,0.0,146.69,68.56,146.69,52.0,335.0,0.28,0.8,52.0,283,63.65,96.5,123.0,180.0,253.55,83.5,0.47,0.0
mt cars.parquet,drat,Numeric,32,22,68.75,False,14,43.75,0,0.0,3.6,0.53,3.6,2.76,4.93,-0.45,0.29,0.48,2.17,2.85,3.08,3.7,3.92,4.31,0.84,0.15,0.0
mt cars.parquet,wt,Numeric,32,29,90.62,False,27,84.38,0,0.0,3.22,0.98,3.22,1.51,5.42,0.42,0.47,0.52,3.9110000000000005,1.74,2.58,3.32,3.61,5.29,1.03,0.3,0.0
mt cars.parquet,qsec,Numeric,32,30,93.75,False,28,87.5,0,0.0,17.85,1.79,17.85,14.5,22.9,0.86,0.41,0.96,8.399999999999999,15.05,16.89,17.71,18.9,20.1,2.01,0.1,0.0
mt cars.parquet,vs,Numeric,32,2,6.25,False,0,0.0,0,0.0,0.44,0.5,0.44,0.0,1.0,-2.06,0.26,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.15,0.0
mt cars.parquet,am,Numeric,32,2,6.25,False,0,0.0,0,0.0,0.41,0.5,0.41,0.0,1.0,-1.97,0.4,0.0,1,0.0,0.0,0.0,1.0,1.0,1.0,1.23,0.0
mt cars.parquet,gear,Numeric,32,3,9.38,False,0,0.0,0,0.0,3.69,0.74,3.69,3.0,5.0,-0.9,0.58,1.0,2,3.0,3.0,4.0,4.0,5.0,1.0,0.2,0.0
mt cars.parquet,carb,Numeric,32,6,18.75,False,2,6.25,0,0.0,2.81,1.62,2.81,1.0,8.0,2.02,1.16,1.0,7,1.0,2.0,2.0,4.0,4.9,2.0,0.57,0.0
